MH[GeV],GammaH[GeV],GammaH_up[%],GammaH_do[%]
80.0,1.99E-03,+5.29,-5.24
81.0,2.01E-03,+5.28,-5.21
82.0,2.04E-03,+5.28,-5.24
83.0,2.06E-03,+5.29,-5.20
84.0,2.08E-03,+5.29,-5.24
85.0,2.11E-03,+5.29,-5.21
86.0,2.13E-03,+5.25,-5.23
87.0,2.15E-03,+5.29,-5.21
88.0,2.18E-03,+5.22,-5.24
89.0,2.20E-03,+5.28,-5.17
90.0,2.22E-03,+5.25,-5.21
91.0,2.25E-03,+5.25,-5.17
92.0,2.27E-03,+5.20,-5.21
93.0,2.30E-03,+5.18,-5.21
94.0,2.32E-03,+5.20,-5.21
95.0,2.35E-03,+5.21,-5.14
96.0,2.37E-03,+5.20,-5.17
97.0,2.40E-03,+5.17,-5.17
98.0,2.43E-03,+5.16,-5.13
99.0,2.46E-03,+5.16,-5.16
100.0,2.48E-03,+5.13,-5.11
101.0,2.51E-03,+5.15,-5.08
102.0,2.54E-03,+5.13,-5.06
103.0,2.58E-03,+5.11,-5.06
104.0,2.61E-03,+5.05,-5.10
105.0,2.64E-03,+5.09,-5.00
106.0,2.68E-03,+5.02,-5.00
107.0,2.72E-03,+5.03,-4.95
108.0,2.76E-03,+4.96,-4.94
109.0,2.80E-03,+4.91,-4.94
110.0,2.85E-03,+4.92,-4.88
110.5,2.87E-03,+4.87,-4.89
111.0,2.89E-03,+4.89,-4.82
111.5,2.92E-03,+4.85,-4.80
112.0,2.95E-03,+4.81,-4.80
112.5,2.97E-03,+4.82,-4.77
113.0,3.00E-03,+4.79,-4.73
113.5,3.03E-03,+4.75,-4.75
114.0,3.06E-03,+4.74,-4.69
114.5,3.09E-03,+4.70,-4.69
115.0,3.12E-03,+4.69,-4.66
115.5,3.15E-03,+4.66,-4.64
116.0,3.19E-03,+4.63,-4.60
116.5,3.22E-03,+4.60,-4.56
117.0,3.26E-03,+4.55,-4.57
117.5,3.30E-03,+4.51,-4.53
118.0,3.33E-03,+4.50,-4.49
118.5,3.38E-03,+4.46,-4.45
119.0,3.42E-03,+4.43,-4.40
119.5,3.46E-03,+4.41,-4.39
120.0,3.51E-03,+4.36,-4.33
120.1,3.52E-03,+4.36,-4.34
120.2,3.52E-03,+4.35,-4.32
120.3,3.53E-03,+4.33,-4.32
120.4,3.54E-03,+4.33,-4.31
120.5,3.55E-03,+4.32,-4.30
120.6,3.56E-03,+4.33,-4.29
120.7,3.57E-03,+4.32,-4.28
120.8,3.58E-03,+4.29,-4.27
120.9,3.59E-03,+4.28,-4.28
121.0,3.60E-03,+4.28,-4.25
121.1,3.61E-03,+4.27,-4.25
121.2,3.62E-03,+4.28,-4.23
121.3,3.63E-03,+4.27,-4.23
121.4,3.64E-03,+4.25,-4.25
121.5,3.65E-03,+4.25,-4.23
121.6,3.66E-03,+4.26,-4.20
121.7,3.67E-03,+4.24,-4.21
121.8,3.68E-03,+4.23,-4.19
121.9,3.69E-03,+4.21,-4.20
122.0,3.71E-03,+4.21,-4.19
122.1,3.72E-03,+4.19,-4.19
122.2,3.73E-03,+4.18,-4.18
122.3,3.74E-03,+4.18,-4.17
122.4,3.75E-03,+4.18,-4.15
122.5,3.76E-03,+4.17,-4.14
122.6,3.77E-03,+4.19,-4.13
122.7,3.78E-03,+4.14,-4.14
122.8,3.79E-03,+4.17,-4.11
122.9,3.81E-03,+4.13,-4.12
123.0,3.82E-03,+4.15,-4.08
123.1,3.83E-03,+4.13,-4.09
123.2,3.84E-03,+4.12,-4.08
123.3,3.85E-03,+4.08,-4.09
123.4,3.86E-03,+4.09,-4.08
123.5,3.88E-03,+4.09,-4.05
123.6,3.89E-03,+4.09,-4.04
123.7,3.90E-03,+4.08,-4.02
123.8,3.91E-03,+4.05,-4.05
123.9,3.93E-03,+4.05,-4.02
124.0,3.94E-03,+4.04,-4.03
124.1,3.95E-03,+4.03,-4.01
124.2,3.96E-03,+4.03,-3.97
124.3,3.98E-03,+4.02,-4.00
124.4,3.99E-03,+4.01,-3.99
124.5,4.00E-03,+4.01,-3.98
124.6,4.02E-03,+3.99,-3.97
124.7,4.03E-03,+3.97,-3.96
124.8,4.04E-03,+3.99,-3.95
124.9,4.06E-03,+3.95,-3.94
125.0,4.07E-03,+3.97,-3.93
125.1,4.08E-03,+3.94,-3.91
125.2,4.10E-03,+3.95,-3.90
125.3,4.11E-03,+3.94,-3.89
125.4,4.12E-03,+3.93,-3.89
125.5,4.14E-03,+3.92,-3.88
125.6,4.15E-03,+3.91,-3.86
125.7,4.17E-03,+3.89,-3.87
125.8,4.18E-03,+3.88,-3.84
125.9,4.20E-03,+3.88,-3.84
126.0,4.21E-03,+3.87,-3.83
126.1,4.23E-03,+3.86,-3.84
126.2,4.24E-03,+3.85,-3.83
126.3,4.26E-03,+3.83,-3.82
126.4,4.27E-03,+3.82,-3.80
126.5,4.29E-03,+3.80,-3.79
126.6,4.30E-03,+3.81,-3.78
126.7,4.32E-03,+3.80,-3.77
126.8,4.33E-03,+3.77,-3.77
126.9,4.35E-03,+3.77,-3.74
127.0,4.36E-03,+3.76,-3.75
127.1,4.38E-03,+3.75,-3.72
127.2,4.40E-03,+3.75,-3.72
127.3,4.41E-03,+3.73,-3.73
127.4,4.43E-03,+3.73,-3.70
127.5,4.45E-03,+3.70,-3.72
127.6,4.46E-03,+3.70,-3.69
127.7,4.48E-03,+3.72,-3.66
127.8,4.50E-03,+3.67,-3.68
127.9,4.51E-03,+3.67,-3.67
128.0,4.53E-03,+3.67,-3.64
128.1,4.55E-03,+3.66,-3.64
128.2,4.57E-03,+3.67,-3.61
128.3,4.58E-03,+3.64,-3.61
128.4,4.60E-03,+3.63,-3.60
128.5,4.62E-03,+3.62,-3.59
128.6,4.64E-03,+3.62,-3.57
128.7,4.65E-03,+3.62,-3.55
128.8,4.67E-03,+3.59,-3.57
128.9,4.69E-03,+3.57,-3.56
129.0,4.71E-03,+3.57,-3.54
129.1,4.73E-03,+3.56,-3.53
129.2,4.75E-03,+3.55,-3.53
129.3,4.77E-03,+3.53,-3.51
129.4,4.79E-03,+3.53,-3.50
129.5,4.81E-03,+3.51,-3.50
129.6,4.83E-03,+3.50,-3.49
129.7,4.85E-03,+3.48,-3.49
129.8,4.87E-03,+3.49,-3.47
129.9,4.89E-03,+3.48,-3.46
130.0,4.91E-03,+3.46,-3.44
130.5,5.01E-03,+3.41,-3.40
131.0,5.12E-03,+3.37,-3.33
131.5,5.23E-03,+3.31,-3.28
132.0,5.35E-03,+3.26,-3.23
132.5,5.48E-03,+3.22,-3.17
133.0,5.60E-03,+3.17,-3.13
133.5,5.74E-03,+3.10,-3.07
134.0,5.88E-03,+3.05,-3.02
134.5,6.03E-03,+2.99,-2.97
135.0,6.18E-03,+2.93,-2.93
135.5,6.34E-03,+2.89,-2.86
136.0,6.51E-03,+2.82,-2.81
136.5,6.69E-03,+2.77,-2.76
137.0,6.87E-03,+2.73,-2.70
137.5,7.06E-03,+2.67,-2.65
138.0,7.26E-03,+2.61,-2.61
138.5,7.47E-03,+2.56,-2.54
139.0,7.70E-03,+2.52,-2.50
139.5,7.93E-03,+2.46,-2.43
140.0,8.17E-03,+2.41,-2.39
140.5,8.43E-03,+2.35,-2.35
141.0,8.70E-03,+2.29,-2.29
141.5,8.98E-03,+2.25,-2.24
142.0,9.28E-03,+2.19,-2.18
142.5,9.59E-03,+2.15,-2.12
143.0,9.92E-03,+2.08,-2.08
143.5,1.03E-02,+2.03,-2.03
144.0,1.06E-02,+1.98,-1.98
144.5,1.10E-02,+1.94,-1.95
145.0,1.14E-02,+1.91,-1.88
145.5,1.19E-02,+1.84,-1.86
146.0,1.23E-02,+1.80,-1.78
146.5,1.28E-02,+1.77,-1.74
147.0,1.33E-02,+1.73,-1.69
147.5,1.39E-02,+1.68,-1.67
148.0,1.45E-02,+1.64,-1.60
148.5,1.51E-02,+1.57,-1.58
149.0,1.58E-02,+1.53,-1.54
149.5,1.65E-02,+1.50,-1.48
150.0,1.73E-02,+1.45,-1.45
152.0,2.11E-02,+1.28,-1.29
154.0,2.66E-02,+1.13,-1.13
156.0,3.51E-02,+1.01,-0.98
158.0,5.02E-02,+0.85,-0.84
160.0,8.31E-02,+0.72,-0.71
162.0,1.47E-01,+0.64,-0.64
164.0,2.15E-01,+0.60,-0.60
165.0,2.46E-01,+0.60,-0.59
166.0,2.76E-01,+0.59,-0.59
168.0,3.30E-01,+0.58,-0.58
170.0,3.80E-01,+0.57,-0.57
172.0,4.29E-01,+0.57,-0.57
174.0,4.77E-01,+0.57,-0.57
175.0,5.01E-01,+0.56,-0.56
176.0,5.25E-01,+0.56,-0.56
178.0,5.75E-01,+0.56,-0.56
180.0,6.31E-01,+0.56,-0.56
182.0,7.00E-01,+0.56,-0.56
184.0,7.88E-01,+0.55,-0.55
185.0,8.32E-01,+0.55,-0.55
186.0,8.76E-01,+0.55,-0.55
188.0,9.60E-01,+0.55,-0.55
190.0,1.04E+00,+0.55,-0.55
192.0,1.12E+00,+0.55,-0.55
194.0,1.20E+00,+0.55,-0.55
195.0,1.24E+00,+0.55,-0.55
196.0,1.28E+00,+0.55,-0.55
198.0,1.35E+00,+0.55,-0.55
200.0,1.43E+00,+0.55,-0.55
202.0,1.51E+00,+0.54,-0.55
204.0,1.59E+00,+0.54,-0.55
206.0,1.68E+00,+0.54,-0.54
208.0,1.76E+00,+0.54,-0.54
210.0,1.85E+00,+0.54,-0.54
212.0,1.93E+00,+0.54,-0.54
214.0,2.02E+00,+0.54,-0.54
216.0,2.12E+00,+0.54,-0.54
218.0,2.21E+00,+0.54,-0.54
220.0,2.31E+00,+0.54,-0.54
222.0,2.40E+00,+0.54,-0.54
224.0,2.50E+00,+0.54,-0.54
226.0,2.61E+00,+0.54,-0.54
228.0,2.71E+00,+0.54,-0.54
230.0,2.82E+00,+0.54,-0.54
232.0,2.93E+00,+0.54,-0.54
234.0,3.04E+00,+0.54,-0.54
236.0,3.16E+00,+0.54,-0.54
238.0,3.27E+00,+0.54,-0.54
240.0,3.40E+00,+0.54,-0.54
242.0,3.52E+00,+0.54,-0.54
244.0,3.64E+00,+0.54,-0.54
246.0,3.77E+00,+0.54,-0.54
248.0,3.91E+00,+0.54,-0.54
250.0,4.04E+00,+0.54,-0.54
252.0,4.18E+00,+0.54,-0.54
254.0,4.32E+00,+0.54,-0.54
256.0,4.46E+00,+0.54,-0.54
258.0,4.61E+00,+0.54,-0.54
260.0,4.76E+00,+0.54,-0.54
262.0,4.91E+00,+0.54,-0.54
264.0,5.07E+00,+0.54,-0.54
266.0,5.23E+00,+0.54,-0.54
268.0,5.39E+00,+0.53,-0.54
270.0,5.55E+00,+0.53,-0.54
272.0,5.72E+00,+0.53,-0.53
274.0,5.89E+00,+0.53,-0.53
276.0,6.07E+00,+0.53,-0.53
278.0,6.25E+00,+0.53,-0.53
280.0,6.43E+00,+0.53,-0.53
282.0,6.61E+00,+0.53,-0.53
284.0,6.80E+00,+0.53,-0.53
286.0,6.99E+00,+0.53,-0.53
288.0,7.19E+00,+0.53,-0.53
290.0,7.39E+00,+0.53,-0.53
292.0,7.59E+00,+0.53,-0.53
294.0,7.79E+00,+0.52,-0.53
296.0,8.00E+00,+0.52,-0.53
298.0,8.22E+00,+0.52,-0.53
300.0,8.43E+00,+0.52,-0.52
305.0,8.99E+00,+0.52,-0.52
310.0,9.57E+00,+0.51,-0.52
315.0,1.02E+01,+0.51,-0.51
320.0,1.08E+01,+0.51,-0.52
325.0,1.14E+01,+0.52,-0.54
330.0,1.21E+01,+0.54,-0.57
335.0,1.28E+01,+0.58,-0.65
340.0,1.35E+01,+0.66,-0.73
345.0,1.42E+01,+1.99,-0.52
350.0,1.52E+01,+2.96,-1.97
360.0,1.76E+01,+3.10,-3.06
370.0,2.02E+01,+2.98,-3.04
380.0,2.31E+01,+2.80,-2.90
390.0,2.61E+01,+2.62,-2.73
400.0,2.92E+01,+2.45,-2.54
420.0,3.59E+01,+2.14,-2.22
440.0,4.30E+01,+1.88,-1.96
450.0,4.68E+01,+1.76,-1.85
460.0,5.08E+01,+1.68,-1.73
480.0,5.91E+01,+1.51,-1.56
500.0,6.80E+01,+1.96,-2.00
520.0,7.75E+01,+2.16,-2.19
540.0,8.77E+01,+2.41,-2.43
550.0,9.30E+01,+2.53,-2.55
560.0,9.86E+01,+2.65,-2.68
580.0,1.10E+02,+2.90,-2.93
600.0,1.23E+02,+3.18,-3.18
620.0,1.36E+02,+3.46,-3.48
640.0,1.50E+02,+3.78,-3.78
650.0,1.58E+02,+3.94,-3.94
660.0,1.65E+02,+4.11,-4.12
680.0,1.82E+02,+4.49,-4.49
700.0,1.99E+02,+4.88,-4.88
720.0,2.17E+02,+5.33,-5.32
740.0,2.37E+02,+5.80,-5.81
750.0,2.47E+02,+6.06,-6.07
760.0,2.58E+02,+6.33,-6.33
780.0,2.80E+02,+6.90,-6.90
800.0,3.04E+02,+7.53,-7.52
820.0,3.30E+02,+8.19,-8.20
840.0,3.57E+02,+8.93,-8.92
850.0,3.71E+02,+9.31,-9.30
860.0,3.86E+02,+9.71,-9.71
880.0,4.16E+02,+10.56,-10.55
900.0,4.49E+02,+11.47,-11.47
920.0,4.84E+02,+12.45,-12.45
940.0,5.21E+02,+13.50,-13.49
950.0,5.40E+02,+14.05,-14.05
960.0,5.60E+02,+14.62,-14.62
980.0,6.02E+02,+15.82,-15.82
1000.0,6.47E+02,+17.10,-17.09